username,repo_name,stars,repo_url
facebook,react,199000,https://github.com/facebook/react
ocornut,imgui,43600,https://github.com/ocornut/imgui
curl,curl,27600,https://github.com/curl/curl
ccxt,ccxt,26500,https://github.com/ccxt/ccxt
mojs,mojs,17800,https://github.com/mojs/mojs
framework7io,framework7,17000,https://github.com/framework7io/framework7
OpenGenus,cosmos,13300,https://github.com/OpenGenus/cosmos
dgraph-io,badger,11600,https://github.com/dgraph-io/badger
Ramotion,animated-tab-bar,11000,https://github.com/Ramotion/animated-tab-bar
WenchaoD,FSCalendar,10200,https://github.com/WenchaoD/FSCalendar
Ramotion,folding-cell,10100,https://github.com/Ramotion/folding-cell
felangel,bloc,9800,https://github.com/felangel/bloc
cdnjs,cdnjs,9700,https://github.com/cdnjs/cdnjs
apache,thrift,9500,https://github.com/apache/thrift
libgit2,libgit2,8800,https://github.com/libgit2/libgit2
nextui-org,nextui,8500,https://github.com/nextui-org/nextui
roughike,BottomBar,8400,https://github.com/roughike/BottomBar
FreeRDP,FreeRDP,7600,https://github.com/FreeRDP/FreeRDP
ColorfulCat,AndroidLibs,7400,https://github.com/ColorfulCat/AndroidLibs
LonamiWebs,Telethon,7200,https://github.com/LonamiWebs/Telethon
