username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,129000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,93300,https://github.com/nodejs/node
trimstray,the-book-of-secret-knowledge,89400,https://github.com/trimstray/the-book-of-secret-knowledge
atom,atom,59100,https://github.com/atom/atom
ventoy,Ventoy,45100,https://github.com/ventoy/Ventoy
alacritty,alacritty,44700,https://github.com/alacritty/alacritty
vercel,hyper,40300,https://github.com/vercel/hyper
bregman-arie,devops-exercises,39700,https://github.com/bregman-arie/devops-exercises
FiloSottile,mkcert,39600,https://github.com/FiloSottile/mkcert
sherlock-project,sherlock,39000,https://github.com/sherlock-project/sherlock
marktext,marktext,38300,https://github.com/marktext/marktext
rustdesk,rustdesk,37700,https://github.com/rustdesk/rustdesk
PowerShell,PowerShell,37100,https://github.com/PowerShell/PowerShell
GitSquared,edex-ui,36600,https://github.com/GitSquared/edex-ui
agalwood,Motrix,35600,https://github.com/agalwood/Motrix
nativefier,nativefier,32800,https://github.com/nativefier/nativefier
Z4nzu,hackingtool,28600,https://github.com/Z4nzu/hackingtool
0xAX,linux-insides,27800,https://github.com/0xAX/linux-insides
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
matteocrippa,awesome-swift,22900,https://github.com/matteocrippa/awesome-swift
