username,repo_name,stars,repo_url
neovim,neovim,62200,https://github.com/neovim/neovim
coolsnowwolf,lede,24800,https://github.com/coolsnowwolf/lede
SpaceVim,SpaceVim,19600,https://github.com/SpaceVim/SpaceVim
cocos2d,cocos2d-x,16800,https://github.com/cocos2d/cocos2d-x
NvChad,NvChad,14100,https://github.com/NvChad/NvChad
LunarVim,LunarVim,13100,https://github.com/LunarVim/LunarVim
lionsoul2014,ip2region,12800,https://github.com/lionsoul2014/ip2region
spotify,annoy,10800,https://github.com/spotify/annoy
Hammerspoon,hammerspoon,10100,https://github.com/Hammerspoon/hammerspoon
codota,TabNine,9700,https://github.com/codota/TabNine
nvim-telescope,telescope.nvim,8900,https://github.com/nvim-telescope/telescope.nvim
lk-geimfari,awesomo,8800,https://github.com/lk-geimfari/awesomo
minetest,minetest,8400,https://github.com/minetest/minetest
Tencent,xLua,8200,https://github.com/Tencent/xLua
nmap,nmap,7400,https://github.com/nmap/nmap
nodemcu,nodemcu-firmware,7300,https://github.com/nodemcu/nodemcu-firmware
AstroNvim,AstroNvim,6500,https://github.com/AstroNvim/AstroNvim
xmake-io,xmake,6400,https://github.com/xmake-io/xmake
brndnmtthws,conky,6000,https://github.com/brndnmtthws/conky
wbthomason,packer.nvim,5600,https://github.com/wbthomason/packer.nvim
