username,repo_name,stars,repo_url
curlconverter,curlconverter,6100,https://github.com/curlconverter/curlconverter
PRML,PRMLT,5600,https://github.com/PRML/PRMLT
zhanwen,MathModel,5200,https://github.com/zhanwen/MathModel
ZheC,Realtime_Multi-Person_Pose_Estimation,4900,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
flybywiresim,a32nx,4500,https://github.com/flybywiresim/a32nx
Chakazul,Lenia,3000,https://github.com/Chakazul/Lenia
ZachL1,Bilibili-plus,2800,https://github.com/ZachL1/Bilibili-plus
kaxap,arl,1700,https://github.com/kaxap/arl
personqianduixue,Math_Model,1700,https://github.com/personqianduixue/Math_Model
HuangCongQing,Algorithms_MathModels,1600,https://github.com/HuangCongQing/Algorithms_MathModels
matlab2tikz,matlab2tikz,1300,https://github.com/matlab2tikz/matlab2tikz
casadi,casadi,1100,https://github.com/casadi/casadi
pptacher,probabilistic_robotics,1000,https://github.com/pptacher/probabilistic_robotics
scottclowe,matlab-schemer,982,https://github.com/scottclowe/matlab-schemer
analyticalmonk,awesome-neuroscience,966,https://github.com/analyticalmonk/awesome-neuroscience
petercorke,robotics-toolbox-matlab,958,https://github.com/petercorke/robotics-toolbox-matlab
bytefish,facerec,939,https://github.com/bytefish/facerec
BIMK,PlatEMO,914,https://github.com/BIMK/PlatEMO
JalaliLabUCLA,Image-feature-detection-using-Phase-Stretch-Transform,835,https://github.com/JalaliLabUCLA/Image-feature-detection-using-Phase-Stretch-Transform
JSBSim-Team,jsbsim,783,https://github.com/JSBSim-Team/jsbsim
