username,repo_name,stars,repo_url
tensorflow,tensorflow,171000,https://github.com/tensorflow/tensorflow
huggingface,transformers,80500,https://github.com/huggingface/transformers
pytorch,pytorch,62600,https://github.com/pytorch/pytorch
keras-team,keras,57300,https://github.com/keras-team/keras
scikit-learn,scikit-learn,52900,https://github.com/scikit-learn/scikit-learn
Developer-Y,cs-video-courses,51800,https://github.com/Developer-Y/cs-video-courses
tesseract-ocr,tesseract,49100,https://github.com/tesseract-ocr/tesseract
ageitgey,face_recognition,47300,https://github.com/ageitgey/face_recognition
microsoft,ML-For-Beginners,44700,https://github.com/microsoft/ML-For-Beginners
binhnguyennus,awesome-scalability,43600,https://github.com/binhnguyennus/awesome-scalability
deepfakes,faceswap,43500,https://github.com/deepfakes/faceswap
aymericdamien,TensorFlow-Examples,42600,https://github.com/aymericdamien/TensorFlow-Examples
JuliaLang,julia,41600,https://github.com/JuliaLang/julia
Avik-Jain,100-Days-Of-ML-Code,39700,https://github.com/Avik-Jain/100-Days-Of-ML-Code
d2l-ai,d2l-zh,37700,https://github.com/d2l-ai/d2l-zh
iperov,DeepFaceLab,37300,https://github.com/iperov/DeepFaceLab
ultralytics,yolov5,35200,https://github.com/ultralytics/yolov5
BVLC,caffe,33100,https://github.com/BVLC/caffe
GokuMohandas,Made-With-ML,32500,https://github.com/GokuMohandas/Made-With-ML
google-research,google-research,27200,https://github.com/google-research/google-research
