username,repo_name,stars,repo_url
mastodon,mastodon,37100,https://github.com/mastodon/mastodon
TwidereProject,Twidere-Android,2700,https://github.com/TwidereProject/Twidere-Android
superseriousbusiness,gotosocial,1800,https://github.com/superseriousbusiness/gotosocial
tuskyapp,Tusky,1800,https://github.com/tuskyapp/Tusky
mastodon,documentation,1600,https://github.com/mastodon/documentation
mastodon,mastodon-ios,1100,https://github.com/mastodon/mastodon-ios
mastodon,mastodon-android,949,https://github.com/mastodon/mastodon-android
nolanlawson,pinafore,907,https://github.com/nolanlawson/pinafore
ihabunek,toot,819,https://github.com/ihabunek/toot
renatolond,mastodon-twitter-poster,730,https://github.com/renatolond/mastodon-twitter-poster
h3poteto,whalebird-desktop,715,https://github.com/h3poteto/whalebird-desktop
rustodon,rustodon,713,https://github.com/rustodon/rustodon
joyeusenoelle,GuideToMastodon,666,https://github.com/joyeusenoelle/GuideToMastodon
metabolist,metatext,665,https://github.com/metabolist/metatext
halcy,Mastodon.py,630,https://github.com/halcy/Mastodon.py
tleb,awesome-mastodon,624,https://github.com/tleb/awesome-mastodon
nathanlesage,academics-on-mastodon,603,https://github.com/nathanlesage/academics-on-mastodon
kha7iq,pingme,578,https://github.com/kha7iq/pingme
mattn,go-mastodon,479,https://github.com/mattn/go-mastodon
ethibox,awesome-stacks,477,https://github.com/ethibox/awesome-stacks
