username,repo_name,stars,repo_url
GoogleContainerTools,jib,12500,https://github.com/GoogleContainerTools/jib
bytedeco,javacv,6400,https://github.com/bytedeco/javacv
zhanglei-workspace,shopping-management-system,4500,https://github.com/zhanglei-workspace/shopping-management-system
rubenlagus,TelegramBots,3500,https://github.com/rubenlagus/TelegramBots
apache,maven,3500,https://github.com/apache/maven
diffplug,spotless,3300,https://github.com/diffplug/spotless
java-aodeng,hope-boot,3200,https://github.com/java-aodeng/hope-boot
Kotlin,kotlin-examples,3100,https://github.com/Kotlin/kotlin-examples
ZHENFENG13,My-Blog,3000,https://github.com/ZHENFENG13/My-Blog
spotify,dockerfile-maven,2700,https://github.com/spotify/dockerfile-maven
spotify,docker-maven-plugin,2600,https://github.com/spotify/docker-maven-plugin
jitpack,jitpack.io,2300,https://github.com/jitpack/jitpack.io
bytedeco,javacpp-presets,2300,https://github.com/bytedeco/javacpp-presets
apache,maven-mvnd,2200,https://github.com/apache/maven-mvnd
bonigarcia,webdrivermanager,2200,https://github.com/bonigarcia/webdrivermanager
vector4wang,spring-boot-quick,2100,https://github.com/vector4wang/spring-boot-quick
sanluan,PublicCMS,1900,https://github.com/sanluan/PublicCMS
ZHENFENG13,ssm-demo,1700,https://github.com/ZHENFENG13/ssm-demo
fabric8io,docker-maven-plugin,1700,https://github.com/fabric8io/docker-maven-plugin
henryyan,kft-activiti-demo,1600,https://github.com/henryyan/kft-activiti-demo
