username,repo_name,stars,repo_url
fogleman,Craft,9500,https://github.com/fogleman/Craft
dnschneid,crouton,8200,https://github.com/dnschneid/crouton
PaperMC,Paper,6900,https://github.com/PaperMC/Paper
MinecraftForge,MinecraftForge,5900,https://github.com/MinecraftForge/MinecraftForge
IdreesInc,Monocraft,5800,https://github.com/IdreesInc/Monocraft
nuno-faria,tiler,5400,https://github.com/nuno-faria/tiler
cabaletta,baritone,5100,https://github.com/cabaletta/baritone
huanghongxun,HMCL,4500,https://github.com/huanghongxun/HMCL
cuberite,cuberite,4400,https://github.com/cuberite/cuberite
CaffeineMC,sodium-fabric,3800,https://github.com/CaffeineMC/sodium-fabric
MultiMC,Launcher,3700,https://github.com/MultiMC/Launcher
GeyserMC,Geyser,3600,https://github.com/GeyserMC/Geyser
PojavLauncherTeam,PojavLauncher,3500,https://github.com/PojavLauncherTeam/PojavLauncher
PrismarineJS,mineflayer,3400,https://github.com/PrismarineJS/mineflayer
pmmp,PocketMine-MP,2900,https://github.com/pmmp/PocketMine-MP
EngineHub,WorldEdit,2600,https://github.com/EngineHub/WorldEdit
PrismLauncher,PrismLauncher,2500,https://github.com/PrismLauncher/PrismLauncher
IrisShaders,Iris,2500,https://github.com/IrisShaders/Iris
feather-rs,feather,2100,https://github.com/feather-rs/feather
Querz,mcaselector,2000,https://github.com/Querz/mcaselector
