username,repo_name,stars,repo_url
JuliaLang,julia,41600,https://github.com/JuliaLang/julia
plotly,dash,18100,https://github.com/plotly/dash
nteract,papermill,5100,https://github.com/nteract/papermill
fonsp,Pluto.jl,4400,https://github.com/fonsp/Pluto.jl
multiprocessio,datastation,2700,https://github.com/multiprocessio/datastation
SciML,DifferentialEquations.jl,2500,https://github.com/SciML/DifferentialEquations.jl
szcf-weiya,ESL-CN,2100,https://github.com/szcf-weiya/ESL-CN
grame-cncm,faust,2100,https://github.com/grame-cncm/faust
GenieFramework,Genie.jl,1900,https://github.com/GenieFramework/Genie.jl
jump-dev,JuMP.jl,1900,https://github.com/jump-dev/JuMP.jl
MakieOrg,Makie.jl,1900,https://github.com/MakieOrg/Makie.jl
GiovineItalia,Gadfly.jl,1800,https://github.com/GiovineItalia/Gadfly.jl
JuliaPlots,Plots.jl,1700,https://github.com/JuliaPlots/Plots.jl
JuliaData,DataFrames.jl,1500,https://github.com/JuliaData/DataFrames.jl
alan-turing-institute,MLJ.jl,1500,https://github.com/alan-turing-institute/MLJ.jl
denizyuret,Knet.jl,1400,https://github.com/denizyuret/Knet.jl
FluxML,Zygote.jl,1300,https://github.com/FluxML/Zygote.jl
svaksha,Julia.jl,1300,https://github.com/svaksha/Julia.jl
JuliaPy,PyCall.jl,1300,https://github.com/JuliaPy/PyCall.jl
JuliaLang,PackageCompiler.jl,1200,https://github.com/JuliaLang/PackageCompiler.jl
