username,repo_name,stars,repo_url
flutter,flutter,150000,https://github.com/flutter/flutter
facebook,react-native,108000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,99700,https://github.com/justjavac/free-programming-books-zh_CN
ionic-team,ionic-framework,48600,https://github.com/ionic-team/ionic-framework
google,material-design-icons,47600,https://github.com/google/material-design-icons
Solido,awesome-flutter,45300,https://github.com/Solido/awesome-flutter
vsouza,awesome-ios,41800,https://github.com/vsouza/awesome-ios
FiloSottile,mkcert,39600,https://github.com/FiloSottile/mkcert
dcloudio,uni-app,37700,https://github.com/dcloudio/uni-app
fastlane,fastlane,36400,https://github.com/fastlane/fastlane
ultralytics,yolov5,35200,https://github.com/ultralytics/yolov5
dkhamsing,open-source-ios-apps,33500,https://github.com/dkhamsing/open-source-ios-apps
SheetJS,sheetjs,32200,https://github.com/SheetJS/sheetjs
xitu,gold-miner,31900,https://github.com/xitu/gold-miner
bilibili,ijkplayer,31100,https://github.com/bilibili/ijkplayer
appwrite,appwrite,29200,https://github.com/appwrite/appwrite
SDWebImage,SDWebImage,24500,https://github.com/SDWebImage/SDWebImage
airbnb,lottie-ios,23700,https://github.com/airbnb/lottie-ios
react-native-elements,react-native-elements,23300,https://github.com/react-native-elements/react-native-elements
ReactiveX,RxSwift,23100,https://github.com/ReactiveX/RxSwift
