username,repo_name,stars,repo_url
jquery,jquery,57200,https://github.com/jquery/jquery
alvarotrigo,fullPage.js,34400,https://github.com/alvarotrigo/fullPage.js
NervJS,taro,32299,https://github.com/NervJS/taro
cheeriojs,cheerio,25900,https://github.com/cheeriojs/cheerio
select2,select2,25500,https://github.com/select2/select2
nhn,tui.editor,15600,https://github.com/nhn/tui.editor
selectize,selectize.js,12900,https://github.com/selectize/selectize.js
pandao,editor.md,12800,https://github.com/pandao/editor.md
PuerkitoBio,goquery,12300,https://github.com/PuerkitoBio/goquery
jessepollak,card,11500,https://github.com/jessepollak/card
jquery,jquery-ui,11100,https://github.com/jquery/jquery-ui
jquery-validation,jquery-validation,10300,https://github.com/jquery-validation/jquery-validation
snapappointments,bootstrap-select,9700,https://github.com/snapappointments/bootstrap-select
fengyuanchen,cropper,7800,https://github.com/fengyuanchen/cropper
fancyapps,fancybox,7200,https://github.com/fancyapps/fancybox
olton,Metro-UI-CSS,7000,https://github.com/olton/Metro-UI-CSS
AllThingsSmitty,must-watch-javascript,6900,https://github.com/AllThingsSmitty/must-watch-javascript
bda-research,node-crawler,6400,https://github.com/bda-research/node-crawler
fabiospampinato,cash,6100,https://github.com/fabiospampinato/cash
givanz,VvvebJs,5400,https://github.com/givanz/VvvebJs
