username,repo_name,stars,repo_url
flutter,flutter,150000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,129000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,93300,https://github.com/nodejs/node
atom,atom,59100,https://github.com/atom/atom
jaywcjlove,awesome-mac,57700,https://github.com/jaywcjlove/awesome-mac
alacritty,alacritty,44700,https://github.com/alacritty/alacritty
vercel,hyper,40300,https://github.com/vercel/hyper
FiloSottile,mkcert,39600,https://github.com/FiloSottile/mkcert
sherlock-project,sherlock,39000,https://github.com/sherlock-project/sherlock
marktext,marktext,38300,https://github.com/marktext/marktext
PowerShell,PowerShell,37100,https://github.com/PowerShell/PowerShell
GitSquared,edex-ui,36600,https://github.com/GitSquared/edex-ui
agalwood,Motrix,35600,https://github.com/agalwood/Motrix
Homebrew,brew,34900,https://github.com/Homebrew/brew
serhii-londar,open-source-mac-os-apps,34100,https://github.com/serhii-londar/open-source-mac-os-apps
nativefier,nativefier,32800,https://github.com/nativefier/nativefier
iina,iina,32400,https://github.com/iina/iina
shadowsocks,ShadowsocksX-NG,31000,https://github.com/shadowsocks/ShadowsocksX-NG
sickcodes,Docker-OSX,29000,https://github.com/sickcodes/Docker-OSX
mathiasbynens,dotfiles,28800,https://github.com/mathiasbynens/dotfiles
